trade_date,main_net_in,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_vol,sell_sm_vol,buy_md_vol,sell_md_vol,buy_lg_vol,sell_lg_vol,buy_elg_vol,sell_elg_vol
20190102,1242400.0,1832100.0,2589160.0,3528350.0,3987180.0,3270270.0,2066710.0,336030.0,297190.0,13754000.0,19391000.0,26459000.0,29869000.0,24462000.0,15495000.0,2506000.0,2231000.0
20190103,180920.0,2002880.0,1872570.0,3221370.0,3326210.0,3298670.0,2631070.0,745630.0,1232310.0,15011000.0,14003000.0,24103000.0,24868000.0,24608000.0,19671000.0,5595000.0,9232000.0
20190104,651880.0,1839280.0,2250370.0,3821530.0,4159570.0,3998530.0,3217270.0,134700.0,264080.0,13821000.0,16858000.0,28682000.0,31182000.0,29925000.0,24151000.0,1000000.0,1974000.0
20190107,2410820.0,2030260.0,3561500.0,4845500.0,5713010.0,5485660.0,4106020.0,1237880.0,206700.0,14765000.0,25879000.0,35259000.0,41537000.0,39803000.0,29791000.0,8961000.0,1500000.0
20190108,-968790.0,2070150.0,1737720.0,4041150.0,3530630.0,3246640.0,3924380.0,273840.0,564890.0,15095000.0,12657000.0,29456000.0,25726000.0,23654000.0,28604000.0,1995000.0,4134000.0
20190109,389790.0,2415150.0,2272990.0,3353550.0,3825150.0,2783830.0,2292020.0,140000.0,242020.0,17390000.0,16329000.0,24118000.0,27500000.0,19979000.0,16489000.0,1000000.0,1740000.0
20190110,-353770.0,2408890.0,1830370.0,3456220.0,3510530.0,3763050.0,3396030.0,124390.0,845180.0,17652000.0,13386000.0,25334000.0,25706000.0,27578000.0,24942000.0,918000.0,6209000.0
20190111,812130.0,969200.0,1569060.0,2278080.0,2490360.0,2167350.0,1595380.0,240160.0,0.0,7058000.0,11418000.0,16588000.0,18122000.0,15769000.0,11626000.0,1750000.0,0.0
20190114,332540.0,1234000.0,1417920.0,2675280.0,2823910.0,2327220.0,1542490.0,0.0,452190.0,8899000.0,10213000.0,19290000.0,20361000.0,16772000.0,11121000.0,0.0,3265000.0
20190115,1078520.0,2021560.0,2632840.0,3902120.0,4369360.0,4210600.0,3541590.0,870050.0,460540.0,14320000.0,18653000.0,27647000.0,30956000.0,29791000.0,25054000.0,6153000.0,3248000.0
20190116,-289420.0,1585650.0,1489630.0,2891690.0,2698280.0,1643730.0,2158290.0,367650.0,142510.0,11193000.0,10509000.0,20409000.0,19035000.0,11596000.0,15246000.0,2592000.0,1000000.0
20190117,33520.0,1226430.0,1131510.0,2251510.0,2379960.0,1210780.0,1346580.0,169320.0,0.0,8691000.0,8016000.0,15952000.0,16859000.0,8574000.0,9543000.0,1200000.0,0.0
20190118,331880.0,1322400.0,1588540.0,2467020.0,2532750.0,1799300.0,1610220.0,142800.0,0.0,9293000.0,11151000.0,17327000.0,17782000.0,12621000.0,11307000.0,1000000.0,0.0
20190121,-3795290.0,3585150.0,1352620.0,4698370.0,3135610.0,4025080.0,4516400.0,3613480.0,6917450.0,26346000.0,9909000.0,34497000.0,22933000.0,29628000.0,33127000.0,26654000.0,51157000.0
20190122,-4381070.0,5709050.0,2692000.0,7712380.0,6348380.0,6085630.0,7185510.0,3747220.0,7028410.0,43810000.0,20642000.0,59199000.0,48702000.0,46766000.0,55121000.0,28981000.0,54291000.0
20190123,-159760.0,2498800.0,2344300.0,3461130.0,3455870.0,2380060.0,3026280.0,595170.0,108710.0,18796000.0,17614000.0,26032000.0,25967000.0,17887000.0,22777000.0,4466000.0,823000.0
20190124,36210.0,1625140.0,1420820.0,2022920.0,2263450.0,1615240.0,1683180.0,104150.0,0.0,12261000.0,10706000.0,15252000.0,17058000.0,12180000.0,12709000.0,779000.0,0.0
20190125,469880.0,974180.0,1303520.0,1523590.0,1664120.0,1879650.0,1447060.0,237630.0,200340.0,7350000.0,9821000.0,11488000.0,12542000.0,14163000.0,10912000.0,1790000.0,1515000.0
20190128,-2810.0,960670.0,1006720.0,1709780.0,1660930.0,1019980.0,1327910.0,532590.0,227470.0,7210000.0,7550000.0,12823000.0,12456000.0,7644000.0,9961000.0,3990000.0,1700000.0
20190129,-1836800.0,3269540.0,2139420.0,4039430.0,3332740.0,2495890.0,3536920.0,656240.0,1452010.0,25469000.0,16649000.0,31448000.0,25841000.0,19399000.0,27594000.0,5155000.0,11387000.0
20190130,-738060.0,1935470.0,1228700.0,2301770.0,2270490.0,1492500.0,1524810.0,768900.0,1474650.0,15032000.0,9514000.0,17863000.0,17606000.0,11559000.0,11846000.0,6000000.0,11488000.0
20190131,-1601450.0,2789630.0,1627770.0,3758610.0,3319020.0,2195520.0,2795060.0,759920.0,1761830.0,22245000.0,12964000.0,29967000.0,26428000.0,17481000.0,22298000.0,6097000.0,14100000.0
20190201,309110.0,1374330.0,1552950.0,2208890.0,2339380.0,1112910.0,1270580.0,466780.0,0.0,10907000.0,12277000.0,17486000.0,18546000.0,8814000.0,10071000.0,3687000.0,0.0
20190211,170310.0,1415650.0,1951810.0,3001430.0,2635590.0,1593640.0,1620140.0,368420.0,171610.0,10749000.0,14798000.0,22761000.0,19997000.0,12097000.0,12297000.0,2785000.0,1300000.0
20190212,72290.0,1519020.0,1841670.0,3050290.0,2799930.0,2542540.0,1696150.0,474670.0,1248770.0,11326000.0,13725000.0,22737000.0,20872000.0,18964000.0,12649000.0,3527000.0,9308000.0
20190213,-246500.0,1899650.0,1595520.0,3047070.0,3104720.0,3221500.0,2864110.0,126340.0,730230.0,14125000.0,11856000.0,22652000.0,23079000.0,23946000.0,21296000.0,940000.0,5432000.0
20190214,-5299770.0,5033040.0,1737360.0,7348990.0,5344900.0,2382220.0,6300020.0,610940.0,1992910.0,38016000.0,13111000.0,55474000.0,40317000.0,17976000.0,47550000.0,4600000.0,15088000.0
20190215,-3064770.0,3916080.0,2163920.0,5081810.0,3769200.0,3629930.0,4579040.0,174980.0,2290640.0,30152000.0,16652000.0,39148000.0,29013000.0,27978000.0,35283000.0,1352000.0,17682000.0
20190218,254100.0,2780390.0,3086520.0,4871110.0,4819080.0,3890410.0,4873850.0,1237540.0,0.0,21219000.0,23497000.0,37195000.0,36752000.0,29688000.0,37250000.0,9398000.0,0.0
20190219,1698840.0,2743990.0,3593330.0,5462660.0,6312150.0,5839580.0,4284440.0,767840.0,624140.0,20488000.0,26769000.0,40742000.0,47040000.0,43483000.0,31940000.0,5689000.0,4652000.0
20190220,-1455880.0,4558570.0,3536030.0,7634960.0,7201630.0,5835880.0,6888080.0,1753520.0,2157200.0,33418000.0,25823000.0,55930000.0,52629000.0,42663000.0,50461000.0,12722000.0,15819000.0
20190221,-2590770.0,5079690.0,3072560.0,7153930.0,6570290.0,4686900.0,5283410.0,239150.0,2233410.0,37194000.0,22444000.0,52302000.0,47988000.0,34219000.0,38664000.0,1762000.0,16381000.0
20190222,469280.0,2353550.0,2562360.0,4430770.0,4691240.0,3513300.0,2953060.0,360170.0,451130.0,17257000.0,18764000.0,32469000.0,34374000.0,25716000.0,21638000.0,2634000.0,3300000.0
20190225,404500.0,4512220.0,5873370.0,11177560.0,10220910.0,7638140.0,8080820.0,2149050.0,1301870.0,32137000.0,41674000.0,79453000.0,72614000.0,54207000.0,57458000.0,15269000.0,9320000.0
20190226,703740.0,4917000.0,5229080.0,9876980.0,10268630.0,8104430.0,7114490.0,1047830.0,1334030.0,34084000.0,36170000.0,68376000.0,71038000.0,56049000.0,49290000.0,7224000.0,9235000.0
20190227,-197020.0,5236400.0,5709840.0,11324960.0,10654490.0,9486190.0,9008270.0,1881190.0,2556130.0,35411000.0,38534000.0,76621000.0,71938000.0,64059000.0,60899000.0,12682000.0,17401000.0
20190228,-822680.0,3617860.0,2992980.0,6733960.0,6536150.0,4477880.0,5033010.0,1031340.0,1298890.0,24463000.0,20204000.0,45522000.0,44151000.0,30241000.0,34011000.0,6949000.0,8809000.0
20190301,4461490.0,4765540.0,7287650.0,9543680.0,11483070.0,13827220.0,11660180.0,8652970.0,6358520.0,30806000.0,47105000.0,61777000.0,74365000.0,89305000.0,75246000.0,55667000.0,40839000.0
20190304,-2086400.0,8210220.0,6034360.0,15521980.0,15611450.0,14271040.0,12674100.0,2647360.0,6330700.0,51918000.0,38102000.0,98083000.0,98566000.0,90167000.0,80145000.0,16696000.0,40051000.0
20190305,2360700.0,5778670.0,7670570.0,12716520.0,13185320.0,11139830.0,10961350.0,6924110.0,4741890.0,35278000.0,46752000.0,77663000.0,80506000.0,67909000.0,66810000.0,41842000.0,28623000.0
20190306,1347870.0,7388090.0,7284970.0,12722640.0,14173630.0,13089660.0,13271380.0,4661600.0,3132010.0,43248000.0,42537000.0,74387000.0,82862000.0,76434000.0,77598000.0,27233000.0,18305000.0
20190307,-5334380.0,10781010.0,6581280.0,15422970.0,14288330.0,12384590.0,15130730.0,3405210.0,5993450.0,63229000.0,38484000.0,90366000.0,83613000.0,72562000.0,88786000.0,19968000.0,35243000.0
20190308,-319530.0,7612830.0,6453890.0,12083370.0,12922790.0,11500620.0,11646610.0,2797810.0,2971350.0,46162000.0,38958000.0,73150000.0,78193000.0,69653000.0,70714000.0,16898000.0,17998000.0
20190311,-423580.0,3789690.0,4086570.0,8621620.0,7901170.0,7046510.0,6684320.0,774830.0,1560600.0,22706000.0,24453000.0,51660000.0,47305000.0,42182000.0,40041000.0,4621000.0,9371000.0
20190312,1325100.0,5539560.0,6870160.0,12097480.0,12091980.0,10657070.0,10908400.0,4161940.0,2585510.0,32325000.0,39935000.0,70494000.0,70321000.0,62013000.0,63606000.0,24095000.0,15066000.0
20190313,5580480.0,5941930.0,8554230.0,12182890.0,15151070.0,16042600.0,12390330.0,7076160.0,5147950.0,34152000.0,48877000.0,69835000.0,86634000.0,91679000.0,70883000.0,40308000.0,29580000.0
