trade_date,main_net_in
20190722,-683260.0
20190723,-3991580.0
20190724,-1428700.0
20190725,-5472250.0
20190726,-9335670.0
20190729,8136850.0
20190730,-4450900.0
20190731,-3795980.0
20190801,3623200.0
20190802,-8979740.0
20190805,-4492280.0
20190806,-8105690.0
20190807,-2657720.0
20190808,-11356490.0
20190809,-4777590.0
20190812,-5950850.0
20190813,2165790.0
20190814,405670.0
20190815,3665400.0
20190816,-9777170.0
20190819,-5312690.0
20190820,-925220.0
20190821,-6349780.0
20190822,-2679250.0
20190823,-4266600.0
20190826,-1015470.0
20190827,-378660.0
20190828,-1483240.0
20190829,-2428370.0
20190830,-336250.0
20190902,4333830.0
20190903,-976460.0
20190904,-2708860.0
20190905,-2244160.0
20190906,-3762980.0
20190909,-1169740.0
20190910,-915370.0
20190911,-644110.0
20190912,-3620700.0
20190916,62430.0
20190917,96320.0
20190918,-2952010.0
20190919,1246280.0
20190920,-1081440.0
20190923,-182250.0
20190924,1113800.0
20190925,-1645430.0
20190926,-2506870.0
20190927,-489870.0
20190930,-1138490.0
20191008,-1355740.0
20191009,-315260.0
20191010,-79780.0
20191011,-141670.0
20191014,-437680.0
20191015,-1516860.0
20191016,-1745720.0
20191017,-1535350.0
20191018,15160.0
20191021,-838560.0
20191022,656090.0
20191023,1546820.0
20191024,-1246480.0
20191025,-694760.0
20191028,-85130.0
20191029,-1286990.0
20191030,-24730.0
20191031,-814840.0
20191101,-612060.0
20191104,24460.0
20191105,-202780.0
20191106,722300.0
20191107,99610.0
20191108,436140.0
20191111,-683620.0
20191112,283430.0
20191113,55880.0
20191114,208730.0
20191115,257280.0
20191118,-570350.0
20191119,-351790.0
20191120,-797530.0
20191121,-512480.0
20191122,-402950.0
20191125,-206610.0
20191126,48220.0
20191127,273540.0
20191128,106050.0
20191129,-111700.0
20191202,40310.0
20191203,-425910.0
20191204,182470.0
20191205,74490.0
20191206,34800.0
20191209,376930.0
20191210,1478350.0
20191211,-1119220.0
20191212,394990.0
20191213,354850.0
20191216,-625160.0
20191217,-120790.0
20191218,66500.0
20191219,-993840.0
20191220,-921350.0
20191223,-689350.0
20191224,-13430.0
20191225,403120.0
