trade_date,main_net_in,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_vol,sell_sm_vol,buy_md_vol,sell_md_vol,buy_lg_vol,sell_lg_vol,buy_elg_vol,sell_elg_vol
20190102,-35140.0,1148760.0,919710.0,842010.0,1048750.0,111720.0,146860.0,0.0,0.0,20263000.0,16193000.0,14816000.0,18478000.0,1950000.0,2585000.0,0.0,0.0
20190103,1638420.0,4914490.0,6311530.0,5704520.0,5880580.0,2613120.0,3092570.0,2350170.0,232300.0,79577000.0,101916000.0,92302000.0,95152000.0,42106000.0,49628000.0,37423000.0,3699000.0
20190104,-1455450.0,8218770.0,7891680.0,8697190.0,7651950.0,4496100.0,6117360.0,531880.0,366070.0,127585000.0,122134000.0,134863000.0,118833000.0,69402000.0,94854000.0,8167000.0,5606000.0
20190107,2707580.0,7177210.0,8643170.0,7437770.0,8730990.0,5725570.0,5412520.0,3115290.0,720760.0,107168000.0,127550000.0,110482000.0,129292000.0,84186000.0,79700000.0,44418000.0,10517000.0
20190108,-4861330.0,11505210.0,7809340.0,9177400.0,7906970.0,4758000.0,7759090.0,185320.0,2045560.0,163805000.0,110948000.0,130531000.0,112572000.0,67609000.0,110638000.0,2678000.0,29095000.0
20190109,-333070.0,6605120.0,6125050.0,5478680.0,5601860.0,3896880.0,4083380.0,210690.0,357260.0,97018000.0,89895000.0,80430000.0,82285000.0,57247000.0,60015000.0,3100000.0,5267000.0
20190110,-1082090.0,4660950.0,4037320.0,4677630.0,4234410.0,2659000.0,2736950.0,123480.0,1127620.0,69810000.0,60405000.0,70097000.0,63408000.0,39765000.0,40951000.0,1832000.0,16990000.0
20190111,-388580.0,5118180.0,5173290.0,5925930.0,5482230.0,3708680.0,3723590.0,98310.0,471980.0,75472000.0,76202000.0,87400000.0,80773000.0,54463000.0,54898000.0,1466000.0,6928000.0
20190114,-1236180.0,4511650.0,2768820.0,2729670.0,3236320.0,1112050.0,1720570.0,0.0,627660.0,67882000.0,41615000.0,41067000.0,48613000.0,16726000.0,25930000.0,0.0,9517000.0
20190115,-110840.0,2749760.0,3003820.0,2999310.0,2634400.0,1264260.0,1493990.0,359080.0,240190.0,41083000.0,44840000.0,44776000.0,39320000.0,18843000.0,22311000.0,5338000.0,3569000.0
20190116,-856450.0,3661920.0,2426210.0,2583980.0,2963240.0,1168430.0,1794600.0,0.0,230280.0,55802000.0,36946000.0,39405000.0,45170000.0,17830000.0,27384000.0,0.0,3537000.0
20190117,-483470.0,2759940.0,2122560.0,2206590.0,2360500.0,652340.0,1135810.0,0.0,0.0,42505000.0,32630000.0,33932000.0,36315000.0,10024000.0,17516000.0,0.0,0.0
20190118,-499940.0,5503540.0,4919560.0,4488530.0,4572570.0,1962440.0,2320200.0,0.0,142180.0,82246000.0,73389000.0,66979000.0,68288000.0,29204000.0,34627000.0,0.0,2125000.0
20190121,-56980.0,2948260.0,3303920.0,2651360.0,2238720.0,994990.0,1051970.0,0.0,0.0,44815000.0,50145000.0,40272000.0,34000000.0,15097000.0,16039000.0,0.0,0.0
20190122,-502020.0,2145360.0,1746870.0,1810290.0,1706760.0,948080.0,1450100.0,0.0,0.0,32725000.0,26624000.0,27629000.0,26034000.0,14467000.0,22163000.0,0.0,0.0
20190123,-523180.0,1940980.0,1135110.0,1070850.0,1353540.0,412420.0,811910.0,0.0,123690.0,29780000.0,17409000.0,16437000.0,20766000.0,6325000.0,12466000.0,0.0,1900000.0
20190124,-146150.0,2561050.0,2825170.0,2844970.0,2434690.0,1137740.0,1417740.0,133850.0,0.0,38677000.0,42552000.0,42891000.0,36722000.0,17061000.0,21355000.0,2000000.0,0.0
20190125,-638930.0,2259300.0,1691820.0,1830250.0,1758810.0,450760.0,983310.0,0.0,106380.0,34410000.0,25713000.0,27865000.0,26764000.0,6858000.0,15035000.0,0.0,1621000.0
20190128,-227080.0,1586660.0,1090400.0,1333410.0,1602600.0,421470.0,648550.0,0.0,0.0,24395000.0,16741000.0,20505000.0,24628000.0,6450000.0,9982000.0,0.0,0.0
20190129,-25600.0,1805570.0,1620820.0,1364550.0,1523710.0,498650.0,626370.0,209270.0,107150.0,28634000.0,25690000.0,21636000.0,24151000.0,7882000.0,9917000.0,3306000.0,1700000.0
20190130,774180.0,4762760.0,5391860.0,4493610.0,4638690.0,2640190.0,1666580.0,208880.0,408310.0,71508000.0,80857000.0,67435000.0,69567000.0,39587000.0,24977000.0,3132000.0,6261000.0
20190131,-430440.0,3703030.0,3638820.0,3134940.0,2768710.0,1314070.0,1517860.0,0.0,226650.0,55941000.0,54893000.0,47334000.0,41844000.0,19802000.0,22908000.0,0.0,3432000.0
20190201,513140.0,3768220.0,4676100.0,4138160.0,3743410.0,2440290.0,2463450.0,644050.0,107750.0,55021000.0,68181000.0,60306000.0,54587000.0,35508000.0,35882000.0,9387000.0,1573000.0
20190211,-174070.0,3597690.0,3994930.0,5026240.0,4454930.0,2196730.0,2683630.0,542270.0,229440.0,51711000.0,57351000.0,72261000.0,63956000.0,31483000.0,38547000.0,7746000.0,3348000.0
20190212,30110.0,3273170.0,3328010.0,3669470.0,3644750.0,2674050.0,2519300.0,108700.0,233340.0,47022000.0,47764000.0,52683000.0,52328000.0,38372000.0,36204000.0,1564000.0,3345000.0
20190213,-357160.0,4021430.0,4082890.0,4369750.0,3951140.0,2513850.0,2780320.0,128850.0,219540.0,57409000.0,58204000.0,62354000.0,56345000.0,35781000.0,39696000.0,1808000.0,3107000.0
20190214,-1126760.0,3171450.0,2410650.0,3352400.0,2986440.0,1227520.0,2354280.0,0.0,0.0,45600000.0,34643000.0,48215000.0,42935000.0,17634000.0,33871000.0,0.0,0.0
