trade_date,main_net_in,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_vol,sell_sm_vol,buy_md_vol,sell_md_vol,buy_lg_vol,sell_lg_vol,buy_elg_vol,sell_elg_vol
20190102,7242710.0,15456620.0,20033300.0,24196560.0,26862590.0,28692940.0,24652620.0,14220120.0,11017730.0,61613000.0,79754000.0,96414000.0,107008000.0,114325000.0,98216000.0,56590000.0,43964000.0
20190103,7370910.0,20581610.0,25780440.0,32151300.0,34323380.0,35647530.0,31679170.0,17803130.0,14400580.0,80985000.0,101268000.0,126505000.0,134881000.0,140178000.0,124636000.0,69822000.0,56705000.0
20190104,26515830.0,25624360.0,45259970.0,53072410.0,59952640.0,58859690.0,53403790.0,43062350.0,22002420.0,97171000.0,171289000.0,200536000.0,226905000.0,223257000.0,202153000.0,163853000.0,84470000.0
20190107,23038480.0,33741640.0,50517070.0,64093300.0,70356330.0,72372300.0,74683130.0,62420620.0,37071310.0,117344000.0,175727000.0,223418000.0,245094000.0,252603000.0,260545000.0,217777000.0,129776000.0
20190108,2636560.0,33873080.0,31326910.0,53606130.0,58788860.0,54061280.0,47907260.0,26381650.0,29899110.0,116573000.0,107636000.0,184470000.0,202280000.0,185979000.0,164683000.0,90502000.0,102925000.0
20190109,12126220.0,22159080.0,29228820.0,38915000.0,43971480.0,53203260.0,40086460.0,20927170.0,21917750.0,75953000.0,100006000.0,133282000.0,150517000.0,182053000.0,137295000.0,71630000.0,75101000.0
20190110,-2208470.0,31690470.0,27085410.0,49584800.0,51981390.0,48076310.0,48112480.0,25715620.0,27887920.0,107232000.0,91490000.0,167540000.0,175652000.0,162271000.0,162449000.0,86789000.0,94241000.0
20190111,-17881540.0,27990160.0,19653600.0,49744420.0,40199440.0,35551800.0,46119540.0,19866880.0,27180680.0,96425000.0,67530000.0,171101000.0,138221000.0,122327000.0,158715000.0,68399000.0,93786000.0
20190114,81830.0,15760860.0,16327540.0,28408190.0,27923340.0,25704800.0,24051580.0,10641780.0,12213170.0,53991000.0,55854000.0,97224000.0,95504000.0,87966000.0,82329000.0,36385000.0,41880000.0
20190115,3540660.0,23229450.0,21596850.0,36020220.0,41193490.0,40803520.0,36484000.0,21081070.0,21859930.0,80704000.0,74761000.0,124986000.0,142822000.0,141541000.0,126653000.0,72948000.0,75943000.0
20190116,-14816210.0,34683620.0,23452630.0,49346580.0,45761380.0,46893240.0,52501710.0,22153310.0,31361050.0,118435000.0,79592000.0,168018000.0,155637000.0,159281000.0,178548000.0,74914000.0,106871000.0
20190117,-24033860.0,35875040.0,17587180.0,41574060.0,35828060.0,37275900.0,49056700.0,15399860.0,27652920.0,127871000.0,62626000.0,148131000.0,127663000.0,132878000.0,174724000.0,54785000.0,98653000.0
20190118,1259700.0,15654080.0,16608420.0,25965530.0,26270890.0,30428300.0,29548870.0,13758530.0,13378260.0,55784000.0,59097000.0,92483000.0,93540000.0,108256000.0,105189000.0,48941000.0,47638000.0
