trade_date,main_net_in
20190102,-283030.0
20190103,-61470.0
20190104,458890.0
20190107,-188700.0
20190108,17130.0
20190109,3410250.0
20190110,-1850750.0
20190111,-224150.0
20190114,-79390.0
20190115,-1624850.0
20190116,-1445620.0
20190117,516610.0
20190118,-493940.0
20190121,-741920.0
20190122,176620.0
20190123,145810.0
20190124,-1750580.0
20190125,3029730.0
20190128,-2753490.0
20190129,-2765120.0
20190130,-862190.0
20190131,-390360.0
20190201,63610.0
20190211,383580.0
20190212,753180.0
20190213,1069780.0
20190214,-885150.0
20190215,-907750.0
20190218,-334700.0
20190219,-1389520.0
20190220,-1553170.0
20190221,475840.0
20190222,1376790.0
20190225,-690910.0
20190226,-2862580.0
20190227,-482730.0
20190228,-1003730.0
20190301,-2049450.0
20190304,-287060.0
20190305,1185800.0
20190306,-1707900.0
20190307,1802140.0
20190308,332320.0
20190311,1113130.0
20190312,1692540.0
20190313,-2855560.0
20190314,-1942770.0
20190315,-592090.0
20190318,-567980.0
20190319,-1439100.0
20190320,-552560.0
20190321,457120.0
20190322,-583790.0
20190325,-2662860.0
20190326,-2792670.0
20190327,-698140.0
20190328,-62020.0
20190329,-666880.0
20190401,230230.0
20190402,-93700.0
20190403,-969160.0
20190404,330670.0
20190408,-2139830.0
20190409,1395550.0
20190410,-902990.0
20190411,-1047680.0
20190412,-1158310.0
20190415,152300.0
20190416,-525840.0
20190417,-40420.0
20190418,-1027700.0
20190419,-456410.0
20190422,-1621900.0
20190423,-410800.0
20190424,-170180.0
20190425,-892840.0
20190426,-513660.0
20190429,-807100.0
20190430,-424950.0
20190506,-633880.0
20190507,-101140.0
20190508,-281530.0
20190509,93600.0
20190510,-223030.0
20190513,20570.0
20190514,-216650.0
20190515,-311080.0
20190516,984130.0
20190517,-661640.0
20190520,-312540.0
20190521,-139950.0
20190522,-96400.0
20190523,-337350.0
20190524,-232340.0
20190527,-44500.0
20190528,-653510.0
20190529,49240.0
20190530,-241420.0
20190531,-92350.0
20190603,-251510.0
20190604,39400.0
20190605,120240.0
20190606,-109620.0
20190610,144240.0
20190611,60620.0
20190612,-412420.0
20190613,-442750.0
20190614,-353430.0
20190617,-45200.0
20190618,-264330.0
20190619,16080.0
20190620,-353120.0
20190621,-448020.0
20190624,-163470.0
20190625,-128040.0
20190626,128530.0
20190627,-84020.0
20190628,-463410.0
20190701,-57320.0
20190702,-245530.0
20190703,18650.0
20190704,-208660.0
20190705,-165840.0
20190708,-387500.0
20190709,-135280.0
20190710,-61690.0
20190711,-32100.0
20190712,-107490.0
20190715,-68540.0
20190716,-106530.0
20190717,-255040.0
20190718,-128500.0
20190719,-278340.0
20190722,-233540.0
20190723,10650.0
20190724,-367530.0
20190725,47390.0
20190726,1580.0
20190729,-134890.0
20190730,-192400.0
20190731,77460.0
20190801,330470.0
20190802,-57900.0
20190805,-1032050.0
20190806,-110990.0
20190807,87830.0
20190808,-86210.0
20190809,24620.0
20190812,4400.0
20190813,-233010.0
20190814,-94370.0
20190815,124880.0
20190816,215250.0
20190819,120010.0
20190820,135150.0
20190821,-3120.0
20190822,-24050.0
20190823,-91370.0
20190826,-36660.0
20190827,-131900.0
20190828,50750.0
20190829,1007510.0
20190830,-171990.0
20190902,552500.0
20190903,114810.0
20190904,-14860.0
20190905,91590.0
20190906,-363640.0
20190909,543590.0
20190910,-222310.0
20190911,74840.0
20190912,-357820.0
20190916,34390.0
20190917,-102850.0
20190918,-108400.0
20190919,-223060.0
20190920,468730.0
20190923,-655920.0
20190924,2458860.0
20190925,-772470.0
20190926,-380680.0
20190927,-246780.0
20190930,-308160.0
20191008,-237460.0
20191009,-140890.0
20191010,-33990.0
20191011,-74600.0
20191014,283660.0
20191015,-485560.0
20191016,105400.0
20191017,-161540.0
20191018,-111250.0
20191021,-185610.0
20191022,390350.0
20191023,426140.0
20191024,335990.0
20191025,-30800.0
20191028,512900.0
20191029,-35160.0
20191030,-49870.0
20191031,139390.0
20191101,-141790.0
20191104,-105460.0
20191105,2760.0
20191106,-335960.0
20191107,189520.0
20191108,117980.0
20191111,117590.0
20191112,16130.0
20191113,-24920.0
20191114,-34520.0
20191115,-118380.0
20191118,-67450.0
20191119,18340.0
20191120,135020.0
20191121,-61050.0
20191122,-3680.0
20191125,-143340.0
20191126,-186310.0
20191127,-21990.0
20191128,-51450.0
20191129,-172430.0
20191202,-79060.0
20191203,-129310.0
20191204,519480.0
20191205,-498510.0
20191206,-225200.0
20191209,-147350.0
20191210,-280590.0
20191211,-143550.0
20191212,-145830.0
20191213,-100820.0
20191216,-692950.0
20191217,-654720.0
20191218,-915510.0
20191219,-349440.0
20191220,-89700.0
20191223,174070.0
20191224,-448740.0
20191225,-245910.0
20191226,-424430.0
20191227,-277930.0
20191230,50710.0
20191231,1193270.0
20200102,-747980.0
20200103,-525540.0
20200106,-161950.0
20200107,-923440.0
20200108,1784950.0
20200109,-600350.0
20200110,-42280.0
20200113,-361380.0
20200114,-391190.0
20200115,-295930.0
20200116,-1055390.0
20200117,-895790.0
20200120,-375170.0
20200121,-194200.0
20200122,-267490.0
20200123,-33150.0
20200203,-187750.0
20200204,44690.0
20200205,188150.0
20200206,-665500.0
20200207,-937700.0
20200210,56380.0
20200211,-341560.0
20200212,133590.0
20200213,-71770.0
20200214,-37590.0
20200217,87500.0
20200218,-62960.0
20200219,283040.0
20200220,299570.0
20200221,-312910.0
20200224,-261310.0
20200225,-231240.0
20200226,-176160.0
20200227,-69850.0
20200228,-451720.0
20200302,1182340.0
20200303,-481590.0
20200304,-123870.0
20200305,55020.0
20200306,1176940.0
20200309,-629170.0
20200310,106520.0
20200311,-332130.0
20200312,-820420.0
20200313,-256410.0
20200316,-442600.0
20200317,-362270.0
20200318,-106130.0
20200319,-448860.0
20200320,-260270.0
20200323,-498770.0
20200324,-59030.0
20200325,-496230.0
20200326,-224820.0
20200327,354550.0
20200330,-247460.0
20200331,-95070.0
20200401,-25500.0
20200402,-708300.0
20200403,488290.0
20200407,-551410.0
20200408,-620260.0
20200409,-149250.0
20200410,-485830.0
20200413,-180830.0
20200414,-86840.0
20200415,-527590.0
20200416,-90170.0
20200417,1847460.0
20200420,3025860.0
20200421,-11227210.0
20200422,-799640.0
20200423,-4657500.0
20200424,-1587920.0
20200427,-653340.0
20200428,-529400.0
20200429,-1748550.0
20200430,1193660.0
20200506,-1130730.0
20200507,-587910.0
20200508,406730.0
20200511,-872550.0
20200512,294230.0
20200513,145680.0
20200514,-424150.0
20200515,-612330.0
20200518,-490830.0
20200519,346150.0
20200520,-1105020.0
20200521,-627830.0
20200522,-16830.0
20200525,-275840.0
20200526,120840.0
20200527,-24790.0
20200528,62730.0
20200529,-50140.0
20200601,463420.0
20200602,-1139980.0
20200603,-154510.0
20200604,-12290.0
20200605,-155060.0
20200608,-651840.0
20200609,-200720.0
20200610,-20400.0
20200611,296880.0
20200612,55560.0
20200615,-813960.0
20200616,-982150.0
