trade_date,main_net_in
20190102,1069420.0
20190103,1362580.0
20190104,-762880.0
20190107,1624800.0
20190108,-3305720.0
20190109,-958300.0
20190110,-83600.0
20190111,-251330.0
20190114,-82250.0
20190115,41690.0
20190116,-597290.0
20190117,-678140.0
20190118,-517680.0
20190121,209340.0
20190122,-733710.0
20190123,-220490.0
20190124,510380.0
20190125,61260.0
20190128,-1066930.0
20190129,-709600.0
20190130,-950350.0
20190131,-321110.0
20190201,-212210.0
20190211,329270.0
20190212,-412760.0
20190213,2585060.0
20190214,-897720.0
20190215,90580.0
20190218,1093390.0
20190219,124380.0
20190220,-1908340.0
20190221,3844010.0
20190222,-5519080.0
20190225,-2604710.0
20190226,-1511250.0
20190227,-129490.0
20190228,-5987260.0
20190301,-373620.0
20190304,-1010210.0
20190305,5175370.0
20190306,-773820.0
20190307,-5129020.0
20190308,-4591950.0
20190311,298470.0
20190312,768560.0
20190313,-3370000.0
20190314,-1945930.0
20190315,933140.0
20190318,2741720.0
20190319,4297310.0
20190320,735550.0
20190321,-5245690.0
20190322,2890200.0
20190325,11507120.0
20190326,-18020610.0
20190327,-7250020.0
20190328,-2486380.0
20190329,4161660.0
20190401,3539830.0
20190402,-1436800.0
20190403,-4083960.0
20190404,-2199940.0
20190408,-6716640.0
20190409,-1000820.0
20190410,-1279870.0
20190411,-4245180.0
20190412,-4422420.0
20190415,-1319620.0
20190416,-1470140.0
20190417,-1589880.0
20190418,-1926850.0
20190419,-1942450.0
20190422,-7314490.0
20190423,-4883160.0
20190424,-4105640.0
20190425,242670.0
20190426,282760.0
20190429,-77790.0
20190430,576910.0
20190506,-5237670.0
20190507,730630.0
20190508,-667400.0
20190509,473790.0
20190510,1372020.0
20190513,-1107650.0
20190514,-322560.0
20190515,696310.0
20190516,2795480.0
20190517,-1992080.0
20190520,79050.0
20190521,1483880.0
20190522,-2264330.0
20190523,-1508360.0
20190524,-3183990.0
20190527,2747450.0
20190528,30400.0
20190529,-923270.0
20190530,-777070.0
20190531,9397470.0
20190603,-13121760.0
20190604,-13043980.0
20190605,-2828730.0
20190606,-5803140.0
20190610,-3985450.0
20190611,3580860.0
20190612,-481550.0
20190613,-2106180.0
20190614,-155870.0
20190617,-2386580.0
20190618,149710.0
20190619,-948820.0
20190620,1320610.0
20190621,4812360.0
20190624,-3054740.0
20190625,-1036780.0
20190626,-12870.0
20190627,-1934460.0
20190628,-4447670.0
20190701,-70540.0
