trade_date,main_net_in
20190102,-102550.0
20190103,19790.0
20190104,190170.0
20190107,-182620.0
20190108,-318440.0
20190109,222000.0
20190110,-114460.0
20190111,147340.0
20190114,-240970.0
20190115,700450.0
20190116,-466670.0
20190117,-211980.0
20190118,38930.0
20190121,-181270.0
20190122,-316920.0
20190123,367020.0
20190124,-446060.0
20190125,105200.0
20190128,25420.0
20190129,-598980.0
20190130,-799460.0
20190131,-118440.0
20190201,39450.0
20190211,-53090.0
20190212,-186600.0
20190213,-137520.0
20190214,-95570.0
20190215,86080.0
20190218,544310.0
20190219,73140.0
20190220,336740.0
20190221,-138720.0
20190222,280170.0
20190225,278760.0
20190226,-45040.0
20190227,-761640.0
20190228,-150590.0
20190301,-103510.0
20190304,-235300.0
20190305,460860.0
20190306,-788460.0
20190307,719600.0
20190308,-654450.0
20190311,259520.0
20190312,-311510.0
20190313,-699680.0
20190314,-682340.0
20190315,-379460.0
20190318,-123210.0
20190319,7660.0
20190320,-621530.0
20190321,12670.0
20190322,-314100.0
20190325,-263130.0
20190326,-235360.0
20190327,-324170.0
20190328,-224500.0
20190329,152500.0
20190401,-801740.0
20190402,483980.0
20190403,-29580.0
20190404,13760.0
20190408,-476830.0
20190409,157320.0
20190410,-281910.0
20190411,-194290.0
20190412,-416480.0
20190415,-237910.0
20190416,-128980.0
20190417,-294500.0
20190418,-174420.0
20190419,212230.0
20190422,-130840.0
20190423,-176410.0
20190424,-254040.0
20190425,-388690.0
20190426,-168640.0
20190429,32560.0
20190430,-31720.0
20190506,-652220.0
20190507,-249870.0
20190508,106290.0
20190509,-67620.0
20190510,0.0
20190513,-52750.0
20190514,-109380.0
20190515,-103600.0
20190516,159740.0
20190517,-408040.0
20190520,-134230.0
20190521,257980.0
20190522,-188910.0
20190523,-80700.0
20190524,-44150.0
20190527,54640.0
20190528,-54260.0
20190529,43550.0
20190530,-100000.0
20190531,-17490.0
20190603,-84560.0
20190604,203310.0
20190605,-148630.0
20190606,-252300.0
20190610,-71640.0
20190611,-32630.0
20190612,49060.0
20190613,-329910.0
20190614,-127640.0
20190617,-17570.0
20190618,-110870.0
20190619,17680.0
20190620,308730.0
20190621,-84740.0
20190624,-347110.0
20190625,-105950.0
20190626,-33280.0
20190627,-5790.0
20190628,94240.0
20190701,46690.0
20190702,-59390.0
20190703,-13010.0
20190704,-70270.0
20190705,-69750.0
20190708,194520.0
20190709,-66930.0
20190710,-147330.0
20190711,100080.0
20190712,-55050.0
20190715,-1044590.0
20190716,-138400.0
20190717,-55650.0
20190718,-114360.0
20190719,-129020.0
20190722,-224470.0
20190723,-70830.0
20190724,-40140.0
20190725,-4500.0
20190726,88960.0
20190729,-14910.0
20190730,359960.0
20190731,-170060.0
20190801,-82480.0
20190802,-22570.0
20190805,40840.0
20190806,-37130.0
20190807,144040.0
20190808,-47460.0
20190809,-92500.0
20190812,-211070.0
20190813,-44120.0
20190814,-8310.0
20190815,108520.0
20190816,92900.0
20190819,15060.0
20190820,36670.0
20190821,60760.0
20190822,-75130.0
20190823,-169990.0
20190826,-58340.0
20190827,86920.0
20190828,-39890.0
20190829,-110.0
20190830,-129320.0
20190902,113870.0
20190903,-68710.0
20190904,23070.0
20190905,290110.0
20190906,179790.0
20190909,403540.0
20190910,-207770.0
20190911,47180.0
20190912,-248330.0
20190916,-361200.0
20190917,-374780.0
20190918,86730.0
20190919,-121900.0
20190920,-234310.0
20190923,-232340.0
