trade_date,main_net_in
20190102,-561260.0
20190103,3069410.0
20190104,-1012180.0
20190107,1120360.0
20190108,-2004430.0
20190109,-860620.0
20190110,-3174440.0
20190111,167540.0
20190114,-1365210.0
20190115,1756380.0
20190116,-2719540.0
20190117,-1742630.0
20190118,1637740.0
20190121,-1089700.0
20190122,-4084770.0
20190123,-1380900.0
20190124,-411880.0
20190125,-231600.0
20190128,-3934920.0
20190129,-2856200.0
20190130,1257930.0
20190131,-1353200.0
20190201,990110.0
20190211,-265230.0
20190212,-302090.0
20190213,62310.0
20190214,-2332190.0
20190215,-54190.0
20190218,5361820.0
20190219,1100540.0
20190220,2713130.0
20190221,-569980.0
20190222,-2608720.0
20190225,3843640.0
20190226,-3773920.0
20190227,-1601540.0
20190228,-8284740.0
20190301,-2133310.0
20190304,-832150.0
20190305,2918740.0
20190306,-5168730.0
20190307,-4550460.0
20190308,-5321820.0
20190311,1311800.0
20190312,-2838190.0
20190313,3819600.0
20190314,-1214780.0
20190315,-417480.0
20190318,1018210.0
20190319,-102800.0
20190320,-3213450.0
20190321,-1986510.0
20190322,5021110.0
20190325,4389560.0
20190326,-4026910.0
20190327,-2357770.0
20190328,-2018300.0
20190329,1830350.0
20190401,-2191230.0
20190402,-610430.0
20190403,-229910.0
20190404,4964770.0
20190408,-12216290.0
20190409,-5877230.0
20190410,-1774790.0
20190411,-4323450.0
20190412,-784540.0
20190415,-3830870.0
20190416,-7247900.0
20190417,-1841300.0
20190418,-2080910.0
20190419,-1095820.0
20190422,-3383980.0
20190423,-2451170.0
20190424,222960.0
20190425,-4497970.0
20190426,-2099820.0
20190429,-1389300.0
20190430,-2326500.0
20190506,-2235210.0
20190507,289190.0
20190508,606360.0
20190509,932800.0
20190510,290060.0
20190513,-2330180.0
20190514,-502600.0
20190515,456040.0
20190516,-508430.0
20190517,-2773760.0
20190520,-637960.0
20190521,498250.0
20190522,-296830.0
20190523,-35280.0
20190524,-600080.0
20190527,412490.0
20190528,40510.0
20190529,1706490.0
20190530,-947060.0
20190531,-246910.0
20190603,-315160.0
20190604,-1237530.0
20190605,-131790.0
20190606,-574570.0
20190610,-533690.0
20190611,-1022220.0
20190612,-528340.0
20190613,107180.0
20190614,-1012330.0
20190617,-256870.0
20190618,-239400.0
20190619,-874180.0
20190620,1089960.0
20190621,-3974300.0
20190624,500500.0
20190625,-772760.0
20190626,-1036440.0
20190627,-1092740.0
20190628,-2041850.0
20190701,-951180.0
20190702,569910.0
20190703,552820.0
20190704,1704860.0
20190705,-293610.0
20190708,-2969020.0
20190709,-1138360.0
20190710,-68370.0
20190711,-380140.0
20190712,-59510.0
20190715,1824350.0
20190716,-970890.0
20190717,-5459460.0
20190718,617350.0
20190719,121070.0
20190722,-716800.0
20190723,2911610.0
20190724,-1856010.0
20190725,-241310.0
20190726,652090.0
20190729,-1444270.0
20190730,724680.0
20190731,-656330.0
20190801,-573030.0
20190802,-697120.0
20190805,273490.0
20190806,-721370.0
20190807,-616630.0
20190808,427750.0
20190809,-1069060.0
20190812,-1128500.0
20190813,-132980.0
20190814,-152850.0
20190815,-1313720.0
20190816,-773950.0
20190819,2248770.0
20190820,-512630.0
20190821,-3178160.0
20190822,304060.0
20190823,-1430710.0
20190826,-2217830.0
20190827,-161250.0
20190828,370510.0
20190829,-1446930.0
20190830,1681110.0
20190902,2706770.0
20190903,-1925210.0
20190904,-249260.0
20190905,-1999570.0
20190906,-3108270.0
20190909,359100.0
20190910,-4249100.0
20190911,-5575860.0
20190912,-2709100.0
20190916,-3858990.0
20190917,-5307780.0
20190918,-2321020.0
20190919,300630.0
20190920,-4728810.0
20190923,-673180.0
20190924,-1421730.0
20190925,-2007190.0
20190926,-1260030.0
20190927,-323830.0
20190930,4090.0
20191008,-492380.0
20191009,-512930.0
20191010,256360.0
20191011,-1054600.0
20191014,526400.0
20191015,-120170.0
20191016,-745570.0
20191017,-681870.0
20191018,-4457090.0
20191021,-435680.0
20191022,-1505420.0
20191023,-183310.0
20191024,-702570.0
20191025,1030320.0
20191028,-215530.0
20191029,-1186270.0
20191030,-151560.0
20191031,1138740.0
20191101,40660.0
20191104,775460.0
20191105,-2015510.0
20191106,580940.0
20191107,-1517010.0
20191108,-347000.0
20191111,-2234930.0
20191112,-1169510.0
20191113,-43870.0
20191114,-460400.0
20191115,470.0
20191118,-1362990.0
20191119,-475650.0
20191120,-705180.0
20191121,-42800.0
20191122,-635920.0
20191125,-963500.0
20191126,-1283660.0
20191127,-1065790.0
20191128,213150.0
20191129,226680.0
20191202,-448660.0
20191203,-338810.0
20191204,-200950.0
20191205,-1016740.0
20191206,-2525780.0
20191209,-545000.0
20191210,-169660.0
20191211,-51430.0
20191212,1019990.0
20191213,82470.0
20191216,1867150.0
20191217,-210270.0
20191218,1055920.0
20191219,-201570.0
20191220,135650.0
20191223,1614710.0
20191224,558980.0
20191225,-402400.0
20191226,-2525850.0
20191227,-1424670.0
20191230,316170.0
20191231,-495240.0
20200102,3275550.0
20200103,-803760.0
20200106,53200.0
20200107,1122580.0
20200108,-3600120.0
20200109,-2212700.0
20200110,505590.0
