trade_date,main_net_in
20190102,-393370.0
20190103,5596320.0
20190104,190940.0
20190107,2408120.0
20190108,-3829540.0
20190109,-1629950.0
20190110,-1699720.0
20190111,-1122160.0
20190114,-1620900.0
20190115,857210.0
20190116,-1698060.0
20190117,-1216940.0
20190118,113530.0
20190121,783960.0
20190122,-1982370.0
20190123,-710020.0
20190124,623740.0
20190125,2031770.0
20190128,663580.0
20190129,-2177760.0
20190130,-750570.0
20190131,-396310.0
20190201,2961780.0
20190211,1186860.0
20190212,1911470.0
20190213,7252680.0
20190214,-375600.0
20190215,-3258120.0
20190218,3957070.0
20190219,-4039860.0
20190220,578640.0
20190221,-4538450.0
20190222,1002100.0
20190225,8683010.0
20190226,-3669580.0
20190227,-7174270.0
20190228,-5647310.0
20190301,-295960.0
20190304,3270510.0
20190305,1863500.0
20190306,-6629880.0
20190307,-2732900.0
20190308,-4552220.0
20190311,8030830.0
20190312,-1850500.0
20190313,-3921830.0
20190314,-10233520.0
20190315,-5485770.0
20190318,-1906560.0
20190319,8154650.0
20190320,-7980630.0
20190321,-5826960.0
20190322,1002740.0
20190325,7190270.0
20190326,-17169330.0
20190327,-7567350.0
20190328,-3228460.0
20190329,3935010.0
20190401,-365800.0
20190402,-10257360.0
20190403,-3527570.0
20190404,-1351830.0
20190408,-6449860.0
20190409,-2030690.0
20190410,-5078140.0
20190411,-2115790.0
20190412,-3411910.0
20190415,210260.0
20190416,388580.0
20190417,4356950.0
20190418,1215530.0
20190419,-6910030.0
20190422,-1493920.0
20190423,-5326630.0
20190424,-2175660.0
20190425,-2693570.0
20190426,-1335390.0
20190429,-3052570.0
20190430,-1441690.0
20190506,-6623110.0
20190507,-2683390.0
20190508,409320.0
20190509,323690.0
20190510,3824050.0
20190513,-4277070.0
20190514,874630.0
20190515,-2109610.0
20190516,2869200.0
20190517,-153610.0
20190520,4827190.0
20190521,-483270.0
20190522,-791510.0
20190523,-1706120.0
20190524,-3903300.0
20190527,430500.0
20190528,-2328950.0
20190529,-546730.0
20190530,-2614720.0
20190531,1165350.0
20190603,-3103080.0
20190604,-3137280.0
20190605,-1407110.0
20190606,-429110.0
20190610,1331600.0
20190611,3705870.0
20190612,-233390.0
20190613,-873520.0
20190614,299340.0
20190617,-1496520.0
20190618,303120.0
20190619,1415140.0
20190620,3686800.0
20190621,3601240.0
20190624,1693210.0
20190625,1252260.0
20190626,933710.0
20190627,1561700.0
20190628,-3104330.0
20190701,-128450.0
20190702,-1867680.0
20190703,-168740.0
20190704,2323040.0
20190705,-1675310.0
20190708,-3370730.0
20190709,-971900.0
20190710,-2628530.0
20190711,-330410.0
20190712,194060.0
20190715,2155460.0
20190716,-1595060.0
20190717,1288150.0
20190718,-3553900.0
20190719,119060.0
20190722,-4130520.0
20190723,616630.0
20190724,6430420.0
20190725,-337620.0
20190726,5559760.0
20190729,-1982750.0
20190730,-330480.0
20190731,-68750.0
20190801,-4341140.0
20190802,-6841670.0
20190805,-873280.0
20190806,-284470.0
20190807,-174010.0
20190808,1736340.0
20190809,-7459140.0
20190812,-660020.0
20190813,79450.0
20190814,313930.0
20190815,-1380700.0
20190816,-1076830.0
20190819,3816630.0
20190820,-1881050.0
20190821,-1345330.0
20190822,5332380.0
20190823,-1755270.0
20190826,-368910.0
20190827,-1827270.0
20190828,-420940.0
20190829,-1485510.0
20190830,-2634950.0
20190902,14647880.0
20190903,9511540.0
20190904,-6268050.0
20190905,3969690.0
20190906,-6284810.0
20190909,1238580.0
20190910,-11220670.0
20190911,1771210.0
20190912,-6868610.0
20190916,-1871400.0
20190917,-6364560.0
20190918,-2507820.0
20190919,53850.0
20190920,-10407280.0
20190923,-3705410.0
20190924,-1307480.0
20190925,-5469150.0
20190926,-5141000.0
20190927,-579280.0
20190930,-301530.0
20191008,-1800980.0
20191009,-1163490.0
20191010,-1314610.0
20191011,-4451570.0
20191014,2019160.0
20191015,-2934470.0
20191016,-776580.0
20191017,-985530.0
20191018,-5065470.0
20191021,-977980.0
20191022,-2110300.0
20191023,-2125190.0
20191024,-701450.0
20191025,1360550.0
20191028,716130.0
20191029,-7202810.0
20191030,-4352670.0
20191031,-1549550.0
20191101,-925460.0
20191104,821970.0
20191105,-2665130.0
20191106,21851620.0
20191107,-16711490.0
20191108,-8233550.0
20191111,-3412250.0
20191112,-1120880.0
20191113,-1178570.0
20191114,-2598630.0
20191115,-5070470.0
20191118,-1958980.0
20191119,565730.0
20191120,-3705560.0
20191121,2403580.0
20191122,-105840.0
20191125,-879710.0
20191126,3911410.0
20191127,-1136490.0
20191128,-1713840.0
20191129,1022350.0
20191202,-1150140.0
20191203,2284120.0
20191204,930960.0
20191205,40410.0
20191206,-1562510.0
20191209,-2209680.0
20191210,-4205100.0
20191211,2679070.0
20191212,-1304370.0
20191213,-1314540.0
20191216,9608100.0
20191217,596060.0
20191218,-1424050.0
20191219,882170.0
20191220,-6645400.0
20191223,-1783000.0
20191224,1008230.0
20191225,-1591740.0
20191226,-1041470.0
20191227,-4578180.0
20191230,400900.0
20191231,-448000.0
20200102,-267800.0
20200103,3967800.0
20200106,-4424960.0
20200107,-1638200.0
20200108,149090.0
20200109,-2185030.0
20200110,-2740680.0
20200113,-2879930.0
20200114,3179430.0
