trade_date,main_net_in,buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,buy_sm_vol,sell_sm_vol,buy_md_vol,sell_md_vol,buy_lg_vol,sell_lg_vol,buy_elg_vol,sell_elg_vol
20190102,-37950.0,2733400.0,2746290.0,1513780.0,1462940.0,208320.0,246270.0,0.0,0.0,7577000.0,7606000.0,4191000.0,4056000.0,577000.0,683000.0,0.0,0.0
20190103,996920.0,2015630.0,2893820.0,2385880.0,2504600.0,1615490.0,926900.0,308330.0,0.0,5541000.0,7928000.0,6533000.0,6855000.0,4403000.0,2533000.0,839000.0,0.0
20190104,-473100.0,3281960.0,3247860.0,2509390.0,2070390.0,686290.0,1134810.0,7230.0,31810.0,9148000.0,9043000.0,6986000.0,5759000.0,1899000.0,3162000.0,20000.0,89000.0
20190107,823180.0,3791790.0,4612950.0,3101000.0,3103020.0,2518460.0,1919560.0,625710.0,401430.0,10270000.0,12498000.0,8413000.0,8400000.0,6788000.0,5186000.0,1692000.0,1079000.0
20190108,-647400.0,2657530.0,2076550.0,1820880.0,1754460.0,809560.0,1384640.0,286860.0,359180.0,7207000.0,5625000.0,4936000.0,4756000.0,2190000.0,3756000.0,779000.0,975000.0
20190109,-261090.0,2622640.0,1912240.0,1513740.0,1963050.0,1016450.0,1286320.0,103890.0,95110.0,7090000.0,5163000.0,4086000.0,5305000.0,2742000.0,3473000.0,279000.0,256000.0
20190110,-844700.0,2315400.0,1355040.0,1240400.0,1356060.0,383880.0,1075840.0,102710.0,255450.0,6361000.0,3718000.0,3409000.0,3726000.0,1053000.0,2959000.0,281000.0,700000.0
20190111,765660.0,3888500.0,4399100.0,4286490.0,4541550.0,2966130.0,2642280.0,713380.0,271570.0,10419000.0,11765000.0,11470000.0,12154000.0,7932000.0,7077000.0,1900000.0,726000.0
20190114,-1288180.0,2597580.0,1360010.0,2121340.0,2070720.0,985360.0,1221480.0,0.0,1052060.0,6953000.0,3637000.0,5676000.0,5538000.0,2638000.0,3270000.0,0.0,2822000.0
20190115,441950.0,1684460.0,2448160.0,2265910.0,1944160.0,1125420.0,607060.0,146460.0,222870.0,4508000.0,6547000.0,6060000.0,5199000.0,3005000.0,1624000.0,391000.0,594000.0
