trade_date,main_net_in
20190102,-265810.0
20190103,-827080.0
20190104,-552150.0
20190107,179520.0
20190108,-137700.0
20190109,-188540.0
20190110,105120.0
20190111,-604460.0
20190114,19580.0
20190115,408010.0
20190116,-213210.0
20190117,-322140.0
20190118,-54820.0
20190121,-46880.0
20190122,-109340.0
20190123,-29120.0
20190124,-291690.0
20190125,-117710.0
20190128,-428550.0
20190129,-425970.0
20190130,12450.0
20190131,-223760.0
20190201,28010.0
20190211,598340.0
20190212,-82440.0
20190213,-162000.0
20190214,567470.0
20190215,105190.0
20190218,455590.0
20190219,-289380.0
20190220,-1456500.0
20190221,-1074530.0
20190222,675030.0
20190225,1940920.0
20190226,802810.0
20190227,-798330.0
20190228,-67800.0
20190301,-155440.0
20190304,5070.0
20190305,2800190.0
20190306,-2969400.0
20190307,-4137350.0
20190308,-1232110.0
20190311,3117980.0
20190312,-4429770.0
20190313,-3133790.0
20190314,-1926580.0
20190315,-1361430.0
20190318,1085410.0
20190319,-182970.0
20190320,273340.0
20190321,1584790.0
20190322,-456650.0
20190325,1377520.0
20190326,-457380.0
20190327,501350.0
20190328,-1772110.0
20190329,-707390.0
20190401,-235450.0
20190402,-851670.0
20190403,499660.0
20190404,-1274400.0
20190408,-2015270.0
20190409,-865980.0
20190410,-664120.0
20190411,-804730.0
20190412,-304350.0
20190415,-1412590.0
20190416,-685630.0
20190417,-302890.0
20190418,-1259200.0
20190419,-20170.0
20190422,-282780.0
20190423,-2578640.0
20190424,-286540.0
20190425,-791800.0
20190426,-311300.0
20190429,-347070.0
20190430,-618550.0
20190506,-1689500.0
20190507,-506790.0
20190508,368080.0
20190509,-137180.0
20190510,29720.0
20190513,-379220.0
20190514,-257100.0
20190515,-422650.0
20190516,-176090.0
20190517,-924320.0
20190520,-695430.0
20190521,-174650.0
20190522,273690.0
20190523,101670.0
20190524,-133910.0
20190527,141560.0
20190528,197280.0
20190529,-155740.0
20190530,-744340.0
20190531,254120.0
20190603,103700.0
20190604,-288350.0
20190605,-152640.0
20190606,-284820.0
20190610,-166310.0
20190611,543290.0
20190612,-289060.0
20190613,-169770.0
20190614,-281990.0
20190617,204110.0
20190618,48850.0
20190619,-153760.0
20190620,-228310.0
20190621,283700.0
20190624,-229100.0
20190625,-699370.0
20190626,69900.0
20190627,-107980.0
20190628,-625440.0
20190701,368480.0
20190702,-326570.0
20190703,-1369010.0
20190704,-123050.0
20190705,123380.0
20190708,-62280.0
20190709,-309470.0
