trade_date,main_net_in
20190102,492070.0
20190103,1599220.0
20190104,-1199170.0
20190107,1938060.0
20190108,-1627820.0
20190109,-627130.0
20190110,1731640.0
20190111,397080.0
20190114,-934510.0
20190115,-70590.0
20190116,667810.0
20190117,-183860.0
20190118,153260.0
20190121,-230220.0
20190122,-485980.0
20190123,369500.0
20190124,2849420.0
20190125,-252390.0
20190128,-1227370.0
20190129,-566890.0
20190130,45390.0
20190131,-705280.0
20190201,-139010.0
20190211,-645670.0
20190212,1934040.0
20190213,1835850.0
20190214,-368960.0
20190215,-1050.0
20190218,6284340.0
20190219,2011690.0
20190220,2532680.0
20190221,1497360.0
20190222,-1443290.0
20190225,5200320.0
20190226,-9446370.0
20190227,-6904070.0
20190228,-5135550.0
20190301,-948120.0
20190304,-3508960.0
20190305,4237120.0
20190306,-18610.0
20190307,1347810.0
20190308,-1848640.0
20190311,603350.0
20190312,-277150.0
20190313,-2368450.0
20190314,-544550.0
20190315,-5357240.0
20190318,-942380.0
20190319,1848250.0
20190320,-2611430.0
20190321,1370380.0
20190322,8392990.0
20190325,2389860.0
20190326,-2993430.0
20190327,-2314630.0
20190328,1218560.0
20190329,-5034770.0
20190401,1586790.0
20190402,-5437540.0
20190403,-1816640.0
20190404,221460.0
20190408,-6035240.0
20190409,-3557240.0
20190410,-2948350.0
20190411,3339320.0
20190412,-2030080.0
20190415,1280350.0
20190416,-850400.0
20190417,-94400.0
20190418,-523870.0
20190419,414980.0
20190422,-71690.0
20190423,-1633080.0
20190424,648560.0
20190425,-1583290.0
20190426,-1527930.0
20190429,-2016770.0
20190430,408560.0
20190506,-3988780.0
20190507,-2817250.0
20190508,-474960.0
20190509,-2023770.0
20190510,1979100.0
20190513,-2000020.0
20190514,-71730.0
20190515,1126870.0
20190516,212710.0
20190517,674680.0
20190520,-146390.0
20190521,410930.0
20190522,-2330040.0
20190523,302100.0
20190524,-1455100.0
20190527,-1204050.0
20190528,-1154770.0
20190529,-1199380.0
20190530,-2281970.0
20190531,773460.0
20190603,93850.0
20190604,-1106730.0
20190605,-491140.0
20190606,-1514300.0
20190610,1781930.0
20190611,1941660.0
20190612,1216280.0
20190613,1992200.0
20190614,1036540.0
20190617,-2384780.0
20190618,-851840.0
20190619,224970.0
20190620,1638030.0
20190621,-1336930.0
20190624,-248430.0
20190625,2003810.0
20190626,2477380.0
20190627,1489800.0
20190628,-2441220.0
20190701,-63450.0
20190702,2920350.0
20190703,1906610.0
20190704,3320900.0
20190705,-1499660.0
20190722,-323070.0
20190723,-1583220.0
20190724,169360.0
20190725,-4039930.0
20190726,-914370.0
20190729,-3101030.0
20190730,-1157140.0
20190731,-300120.0
20190801,-1380580.0
20190802,-2238670.0
20190805,-1720350.0
20190806,-1951810.0
20190807,-1986770.0
20190808,-349890.0
20190809,-581140.0
20190812,-863310.0
20190813,-144870.0
20190814,-924840.0
20190815,-79130.0
20190816,-261290.0
20190819,-2733800.0
20190820,-2028710.0
20190821,860450.0
20190822,-1371350.0
20190823,-2289770.0
20190826,-3127180.0
20190827,-1053340.0
20190828,-791860.0
20190829,-472880.0
20190830,-276450.0
20190902,5888900.0
20190903,-4039260.0
20190904,-3030570.0
20190905,99550.0
20190906,-7162740.0
20190909,-1404380.0
20190910,-33150.0
20190911,1565450.0
20190912,-1393140.0
20190916,-2988430.0
20190917,-3518450.0
20190918,-1797810.0
20190919,-170140.0
20190920,-1624280.0
20190923,-1213460.0
20190924,-2368710.0
20190925,-2846720.0
20190926,-3595360.0
20190927,-187350.0
20190930,-413790.0
20191008,-485140.0
20191009,487360.0
20191010,838820.0
20191011,-482020.0
20191014,-550450.0
20191015,-1077870.0
20191016,1425580.0
20191017,-1012300.0
20191018,-2292900.0
20191021,-2294510.0
20191022,86420.0
20191023,385410.0
20191024,1160280.0
20191025,1393640.0
20191028,-339320.0
20191029,-2961750.0
20191030,65120.0
20191031,-268190.0
20191101,58020.0
20191104,749490.0
20191105,-1864090.0
20191106,176010.0
20191107,-747200.0
20191108,-4809550.0
20191111,-3122500.0
20191112,-1158380.0
20191113,58770.0
20191114,-1242460.0
20191115,-2132520.0
20191118,1699740.0
20191119,-3315310.0
20191120,-988520.0
20191121,93260.0
20191122,-566220.0
20191125,-1151160.0
20191126,107620.0
20191127,275330.0
20191128,-8250.0
20191129,48940.0
20191202,-1126580.0
20191203,-1456990.0
20191204,-780110.0
20191205,-1585950.0
20191206,-493270.0
20191209,-548790.0
20191210,-372140.0
20191211,-165930.0
20191212,-299960.0
20191213,366430.0
20191216,1582760.0
20191217,-2807840.0
20191218,-699210.0
20191219,-1758540.0
20191220,-2637990.0
20191223,-1916750.0
20191224,172950.0
20191225,-3044070.0
20191226,-127080.0
20191227,-1066790.0
20191230,1168470.0
20191231,-346090.0
20200102,4721420.0
20200103,-2731890.0
20200106,-2778110.0
20200107,4461360.0
20200108,1531470.0
20200109,519090.0
20200110,-2656220.0
20200113,-2086530.0
20200114,21550.0
20200115,-1242490.0
20200116,-128900.0
20200117,-512610.0
20200120,568060.0
20200121,1110320.0
20200122,-1957360.0
20200123,982830.0
20200203,164840.0
20200204,1202160.0
20200205,710720.0
20200206,186610.0
20200207,1636330.0
20200210,-1717860.0
20200211,-582510.0
20200212,356810.0
20200213,-2748220.0
20200214,-198840.0
20200217,7337940.0
20200218,6945760.0
20200219,-8534930.0
20200220,-21638920.0
20200221,2905840.0
20200224,-7150010.0
20200225,3035880.0
20200226,832540.0
20200227,-467250.0
20200228,-1044080.0
20200302,1483530.0
20200303,5072720.0
20200304,3603460.0
20200305,-5579140.0
20200306,-1112350.0
20200309,-4367120.0
20200310,160920.0
20200311,3758320.0
20200312,-2892960.0
20200313,2885010.0
20200316,-2952050.0
20200317,-1157730.0
20200318,-4598070.0
20200319,-10714060.0
20200320,989360.0
20200323,-3151350.0
20200324,-286250.0
20200325,1856650.0
20200326,-4061890.0
20200327,1390270.0
20200330,-2918110.0
20200331,-1714180.0
20200401,-2810420.0
20200402,1550350.0
20200403,2458510.0
20200407,-42460.0
20200408,961090.0
20200409,-853770.0
20200410,-1386710.0
20200413,-2424140.0
20200414,132760.0
20200415,-327810.0
20200416,2637850.0
20200417,-139060.0
20200420,-2476630.0
20200421,4832610.0
20200422,-3044880.0
20200423,-543230.0
20200424,-3629390.0
20200427,-2029860.0
20200428,-508410.0
20200429,4652880.0
20200430,3412650.0
20200506,2315250.0
20200507,18990.0
20200508,-731280.0
20200512,-3006670.0
20200513,872320.0
20200514,-1436200.0
20200515,1639790.0
20200518,2248770.0
20200519,-396930.0
20200520,-3036430.0
20200521,-1203470.0
20200522,-1230310.0
20200525,312470.0
20200526,58220.0
20200527,-1747520.0
20200528,-1540300.0
20200529,-453210.0
20200601,2379720.0
20200602,-65060.0
20200603,693390.0
20200604,-1150290.0
20200605,-1665700.0
20200608,-307040.0
20200609,-5164470.0
20200610,-1327610.0
20200611,-154160.0
20200612,1397030.0
20200615,-1177470.0
20200616,1337720.0
20200617,1006890.0
20200618,-3398650.0
20200619,-1408800.0
20200622,257020.0
20200623,1444140.0
20200624,-1428220.0
20200629,821190.0
20200630,1301680.0
20200701,6066940.0
20200702,2510020.0
20200703,1097800.0
20200706,8381220.0
20200707,1334660.0
20200708,16749700.0
20200709,10315670.0
20200710,-32941700.0
20200713,-7950220.0
20200714,-14121360.0
20200715,-6810590.0
20200716,-7998760.0
20200717,-2137910.0
20200720,12283050.0
20200721,-21174090.0
20200722,4284620.0
20200723,10105250.0
20200724,-5723190.0
20200727,7613620.0
20200728,19302090.0
20200729,1035710.0
20200730,-18851750.0
20200731,-8272860.0
20200803,33230100.0
20200804,-31551750.0
20200805,21477480.0
20200806,13766750.0
20200807,10613900.0
20200810,-18775910.0
20200811,72310.0
20200812,-19918630.0
20200813,-6168780.0
20200814,-8486430.0
20200817,-2572990.0
20200818,-860810.0
20200819,-22476680.0
20200820,-26659520.0
20200821,-9261320.0
20200824,-4764400.0
20200825,-25219460.0
20200826,-49462560.0
20200827,11061660.0
20200828,33550320.0
20200831,34714620.0
20200901,-1362960.0
20200902,-11561060.0
20200903,-348160.0
20200904,-5212670.0
20200907,-16962250.0
20200908,-18887400.0
20200909,7759450.0
20200910,8958680.0
20200911,-354010.0
20200914,710620.0
20200915,2397530.0
20200916,-2297580.0
20200917,9610420.0
20200918,-2874790.0
20200921,-3575720.0
20200922,-3026340.0
20200923,-14375260.0
20200924,-3943510.0
20200925,-7861610.0
20200928,-7355030.0
20200929,9765230.0
20200930,8132540.0
20201009,3199870.0
20201012,17903280.0
20201013,3247220.0
20201014,-4320130.0
20201015,-7792600.0
20201016,-17475500.0
20201019,-1083820.0
20201020,-4345200.0
20201021,-27789840.0
20201022,-687590.0
20201023,-2917150.0
20201026,-814660.0
20201027,3264080.0
20201028,481780.0
20201029,5144370.0
20201030,8313850.0
20201102,-3535210.0
20201103,12471920.0
20201104,6225460.0
20201105,-4017170.0
20201106,-10061130.0
20201109,-11427900.0
20201110,-15679140.0
20201111,-3877860.0
20201112,-3291060.0
20201113,6335070.0
20201116,-641430.0
20201117,-2834190.0
20201118,1490870.0
20201119,20031760.0
20201120,-3833330.0
20201123,9433690.0
20201124,7250480.0
20201125,-18594370.0
20201126,5415570.0
20201127,7327820.0
20201130,-4183850.0
20201201,8520620.0
20201202,-5632780.0
20201203,-7695680.0
20201204,5529920.0
20201207,3407750.0
20201208,-17591900.0
20201209,-16637020.0
20201210,-9046190.0
20201211,-15715820.0
20201214,18040830.0
20201215,450490.0
20201216,5708720.0
20201217,-17799380.0
20201218,-14627330.0
20201221,12445980.0
20201222,-3701200.0
20201223,39940770.0
20201224,-12197700.0
20201225,14025420.0
20201228,7546640.0
20201229,-8987870.0
20201230,8873510.0
20201231,24281000.0
20210104,4428640.0
20210105,-46970560.0
20210106,-9540640.0
20210107,7242590.0
20210108,-63983880.0
20210111,-74152520.0
20210112,1202230.0
20210113,-42088220.0
20210114,-124358340.0
20210115,-14046260.0
20210118,-10473590.0
20210119,-45648890.0
20210120,30157620.0
20210121,4559650.0
20210122,6804290.0
20210125,-63547890.0
20210126,-150019300.0
20210127,-42791400.0
20210128,-31153010.0
20210129,-52823220.0
20210201,-11491780.0
20210202,-13646250.0
20210203,-34069640.0
20210204,-27505490.0
20210205,-20591160.0
20210208,17549770.0
20210209,35803970.0
20210210,-26051140.0
20210218,-53483850.0
20210219,-11139610.0
20210222,-68376140.0
20210223,-10632030.0
20210224,-4351530.0
20210225,24467040.0
20210226,-47647170.0
20210301,19401560.0
20210302,16552690.0
20210303,-20850150.0
20210304,-30389310.0
20210305,-77707410.0
20210308,-73341560.0
20210309,-15178730.0
20210310,-13088890.0
20210311,3017060.0
20210312,-13648760.0
20210315,-14261270.0
20210316,-7630660.0
20210317,5022170.0
20210318,5177890.0
20210319,9652790.0
20210322,-5286640.0
20210323,2405560.0
20210324,-35571910.0
20210325,-7660940.0
20210326,-538590.0
20210329,7179690.0
20210330,29002810.0
20210331,-73531170.0
20210401,-8454550.0
20210402,7333930.0
20210406,5731180.0
20210407,-3878490.0
20210408,122170.0
20210409,-17954780.0
20210412,-29605330.0
20210413,-6460100.0
20210414,5341110.0
20210415,-4857500.0
20210416,173780.0
20210419,18642630.0
20210420,1860180.0
20210421,-5560990.0
20210422,-1081780.0
