trade_date,main_net_in
20190102,-5270150.0
20190103,28100.0
20190104,5256950.0
20190107,280910.0
20190108,-3391000.0
20190109,-19578150.0
20190110,-561170.0
20190111,-6170470.0
20190114,-2135380.0
20190115,-16490.0
20190116,-9570190.0
20190117,-4271800.0
20190118,5909800.0
20190121,813320.0
20190122,-1837340.0
20190123,679000.0
20190124,-8537510.0
20190125,-2052590.0
20190128,-11408530.0
20190129,-6200320.0
20190130,-1569540.0
20190131,-7725930.0
20190201,5141670.0
20190211,15423550.0
20190212,-1937510.0
20190213,28780330.0
20190214,1739940.0
20190215,-5429810.0
20190218,5828110.0
20190219,-11149730.0
20190220,1133250.0
20190221,6555420.0
20190222,8625600.0
20190225,9287970.0
20190226,-19068770.0
20190227,-28704810.0
20190228,6862250.0
20190301,-3935250.0
20190304,-3338170.0
20190305,-11745790.0
20190306,13460600.0
20190307,-12848480.0
20190308,-34675100.0
20190311,-474290.0
20190312,-4308930.0
20190313,14333590.0
20190314,-14393140.0
20190315,-15112620.0
20190318,-9829570.0
20190319,-18672830.0
20190320,-10945800.0
20190321,-2691420.0
20190322,-11512430.0
20190325,-8531090.0
20190326,-3588880.0
20190327,-24912380.0
20190328,-5855710.0
20190329,-9805700.0
20190401,9468720.0
20190402,-1143280.0
20190403,-209500.0
20190404,1904110.0
20190408,7601250.0
20190409,-12958650.0
20190410,-6886020.0
20190411,2779350.0
20190412,-23725130.0
20190415,-16084550.0
20190416,1315990.0
20190417,14209720.0
20190418,-5108580.0
20190419,-10241010.0
20190422,-8089140.0
20190423,-6436150.0
20190424,-10293390.0
20190425,-4302290.0
20190426,-2789990.0
20190429,-5846190.0
20190430,-10281690.0
20190506,-11572720.0
20190507,-2991750.0
20190508,-1263870.0
20190509,-3971100.0
20190510,3418810.0
20190513,-3955500.0
20190514,-2417070.0
20190515,-643260.0
20190516,2598070.0
20190517,-10582590.0
20190520,-1604040.0
20190521,694550.0
20190522,-2914360.0
20190523,-8655180.0
20190524,-3313810.0
20190527,1402330.0
20190528,-3377670.0
20190529,-2541960.0
20190530,4396280.0
20190531,-4473160.0
20190603,-5300630.0
20190604,-4581450.0
20190605,-1666020.0
20190606,-6333170.0
20190610,1070740.0
20190611,796460.0
20190612,-2752520.0
20190613,-2583340.0
20190614,-1761100.0
20190617,-1483360.0
20190618,-2664250.0
20190619,-2613600.0
20190620,-1408990.0
20190621,-1869550.0
20190624,-1631150.0
20190625,-5895910.0
20190626,-145200.0
20190627,-3883770.0
20190628,-3304570.0
20190701,7638530.0
20190702,12092570.0
20190703,-5412040.0
20190704,220860.0
20190705,-1936450.0
20190708,-4869890.0
20190709,2564050.0
20190710,-474450.0
20190711,155980.0
20190712,-386750.0
20190715,-710490.0
20190716,-3279090.0
20190717,-1086420.0
20190718,-1406380.0
20190719,-2341290.0
20190722,-8752450.0
20190723,-2055650.0
20190724,-4979150.0
20190725,-15082990.0
20190726,2234990.0
20190729,-2310710.0
20190730,-428520.0
20190731,-4619130.0
20190801,24565470.0
20190802,-4076830.0
20190805,-6561820.0
20190806,-12233820.0
20190807,549760.0
20190808,-5831820.0
20190809,200400.0
20190812,-1661860.0
20190813,-468840.0
20190814,2347700.0
20190815,-3353260.0
20190816,712270.0
20190819,-3127120.0
20190820,-873750.0
20190821,-11618000.0
20190822,4442270.0
20190823,-10330590.0
20190826,-3293320.0
20190827,-368650.0
20190828,-1871810.0
20190829,869150.0
20190830,-3828560.0
20190902,2224130.0
20190903,-2420340.0
20190904,-755990.0
20190905,4686620.0
20190906,-7627310.0
20190909,4313010.0
20190910,7435560.0
20190911,-5549310.0
20190912,-3198260.0
20190916,4137040.0
20190917,-8927310.0
20190918,-4092900.0
20190919,20768220.0
20190920,2848240.0
20190923,9493060.0
20190924,-3717360.0
20190925,35625300.0
20190926,-8873890.0
20190927,-19609580.0
20190930,-219900.0
20191008,-495340.0
20191009,-5499590.0
20191010,-3461930.0
20191011,-10955780.0
20191014,4158260.0
20191015,-19016340.0
20191016,1917320.0
20191017,4736490.0
20191018,4426160.0
20191021,-202250.0
20191022,-1323820.0
20191023,-4188150.0
20191024,3937530.0
20191025,-351910.0
20191028,-2163620.0
20191029,-7431540.0
20191030,-2065290.0
20191031,-7855580.0
20191101,4130460.0
20191104,16179930.0
20191105,9023540.0
20191106,15457910.0
20191107,-6547430.0
20191108,377780.0
20191111,-8051830.0
20191112,3213220.0
20191113,-3898370.0
20191114,-4426090.0
20191115,-3808680.0
20191118,-1071460.0
20191119,10368050.0
20191120,-7378650.0
20191121,-1886370.0
20191122,-3720190.0
20191125,-5998960.0
20191126,7448290.0
20191127,2975410.0
20191128,-16431020.0
20191129,-725930.0
20191202,-6322280.0
20191203,-3536640.0
20191204,-704160.0
20191205,-5883600.0
20191206,-15487750.0
20191209,-30797990.0
20191210,-3751000.0
20191211,-9133100.0
20191212,-5711340.0
20191213,-22834960.0
20191216,-7536150.0
20191217,9135580.0
20191226,8655040.0
20191227,1067740.0
20191230,-903470.0
20191231,26566580.0
20200102,3188680.0
20200103,24647570.0
20200106,9729470.0
20200107,-2181320.0
20200108,-2944480.0
20200109,-11617140.0
20200110,11567480.0
20200113,-12445830.0
20200114,53205270.0
20200115,-31241030.0
20200116,-20320070.0
20200117,-11852250.0
20200120,-2184190.0
20200121,-15062040.0
20200122,3769500.0
20200123,-29291580.0
20200203,-4515400.0
20200204,349320.0
20200205,-17327580.0
20200206,2458170.0
20200207,-11608710.0
20200210,-4342550.0
20200211,-9124970.0
20200212,73463140.0
20200213,85191710.0
20200214,-25714030.0
20200217,-7601900.0
20200218,-27678140.0
20200219,-63062210.0
20200220,40021550.0
20200221,16982680.0
20200224,-35130840.0
20200225,40273350.0
20200226,-20422990.0
20200227,-22300260.0
20200228,-41871720.0
20200302,15380230.0
20200303,2934160.0
20200304,18786840.0
20200305,-8582130.0
20200306,20137380.0
20200309,-69853670.0
20200310,3960910.0
20200311,-4778660.0
20200312,-12234240.0
20200313,-14000800.0
20200316,-29272500.0
20200317,-35109570.0
20200318,-21874560.0
20200319,-21871580.0
20200320,-17388840.0
20200323,-36260250.0
20200324,-2895470.0
20200325,5237190.0
20200326,-28341110.0
20200327,-17315320.0
20200330,-31306770.0
20200331,-1524460.0
20200401,47406150.0
20200402,-4287560.0
20200403,-9144960.0
20200407,5081450.0
20200408,-11105710.0
20200409,3123280.0
20200410,-13938070.0
20200413,-7994860.0
20200414,16779950.0
20200415,-32718980.0
20200416,-15364460.0
20200417,-474980.0
20200420,-3483610.0
20200421,-11102820.0
20200422,1038760.0
20200423,-13493960.0
20200424,-8385230.0
20200427,-11958050.0
20200428,-13631720.0
20200429,-18312000.0
20200430,10196260.0
20200506,1145050.0
20200507,-1781390.0
20200508,23900850.0
20200511,-48167080.0
20200512,-8281240.0
20200513,40584380.0
20200514,-18235020.0
20200515,-7518320.0
20200518,-16531880.0
20200519,1594190.0
20200520,1304170.0
20200521,-22697490.0
20200522,-6221290.0
20200525,-670570.0
20200526,22880940.0
20200527,-1450800.0
20200528,36399440.0
20200529,78265480.0
20200601,20178840.0
20200602,-9628010.0
20200603,7307820.0
20200604,41805760.0
20200605,-21318450.0
20200608,3813190.0
20200609,-11576930.0
20200610,-12275140.0
20200611,17409620.0
20200612,-183130.0
20200615,31168150.0
20200616,-14858920.0
20200617,-28594810.0
20200618,-7604960.0
20200619,-11818520.0
20200622,-28696540.0
20200623,30911790.0
20200624,-8432490.0
20200629,-63670100.0
20200630,-4378260.0
20200701,-49285010.0
20200702,-5286310.0
20200703,1006650.0
20200706,5170100.0
20200707,35387000.0
20200708,-8060180.0
20200709,-10663630.0
20200710,66741290.0
20200713,37222160.0
20200714,-53329640.0
20200715,-11779710.0
20200716,-9093880.0
20200717,6045320.0
20200720,-10630520.0
20200721,-87847470.0
20200722,-13228060.0
20200723,-21656330.0
20200724,-28418920.0
20200727,-1278910.0
20200728,4764070.0
20200729,-4676840.0
20200730,-25902970.0
20200731,1198480.0
20200803,2718120.0
20200804,-27684030.0
20200805,-13087570.0
20200806,-4682970.0
20200807,-14434680.0
20200810,-697690.0
20200811,26927310.0
20200812,35959350.0
20200813,-52539800.0
20200814,-42689890.0
20200817,-21828700.0
20200818,-20314810.0
20200819,23346830.0
20200820,-24024850.0
20200821,-7850500.0
20200824,-3947680.0
20200825,-25663070.0
20200826,-36891220.0
20200827,-3914950.0
20200828,4982860.0
20200831,-1595750.0
20200901,-1157320.0
20200902,-9902110.0
20200903,-18362540.0
20200904,-6463390.0
20200907,-7445080.0
20200908,-8361650.0
20200909,-3420810.0
